time,sv,ECEF,position,clock,velocity,dclock
2024-05-12 00:00:00,L47,x,1509.262156,0.006318,-16209.930138,999999.999999
2024-05-12 00:00:00,L47,y,-4434.773035,0.006318,53080.051522,999999.999999
2024-05-12 00:00:00,L47,z,-5006.156715,0.006318,-51961.645478,999999.999999
2024-05-12 00:30:00,L47,x,-852.053266,0.001996,-2145.608519,999999.999999
2024-05-12 00:30:00,L47,y,6445.647689,0.001996,23978.327943,999999.999999
2024-05-12 00:30:00,L47,z,-2171.197467,0.001996,72256.596255,999999.999999
2024-05-12 01:00:00,L47,z,6788.440225,0.002681,-8582.261686,999999.999999
2024-05-12 01:00:00,L47,y,-775.964998,0.002681,-75599.83573,999999.999999
2024-05-12 01:00:00,L47,x,-303.502408,0.002681,1011.934113,999999.999999
2024-05-12 01:30:00,L47,x,-511.362391,0.004273,3332.083916,999999.999999
2024-05-12 01:30:00,L47,y,-5830.245516,0.004273,39438.730588,999999.999999
2024-05-12 01:30:00,L47,z,-3569.15947,0.004273,-65010.406352,999999.999999
2024-05-12 02:00:00,L47,x,1563.106788,-0.000779,11575.972511,999999.999999
2024-05-12 02:00:00,L47,y,5464.590167,-0.000779,40904.153222,999999.999999
2024-05-12 02:00:00,L47,z,-3834.034578,-0.000779,63106.546828,999999.999999
2024-05-12 02:30:00,L47,x,110.144846,0.002135,-27555.600023,999999.999999
2024-05-12 02:30:00,L47,y,1124.862924,0.002135,-69892.98527,999999.999999
2024-05-12 02:30:00,L47,z,6745.59041,0.002135,12073.604728,999999.999999
2024-05-12 03:00:00,L47,x,-3142.741126,0.005582,8874.129696,999999.999999
2024-05-12 03:00:00,L47,y,-5796.266648,0.005582,18744.37604,999999.999999
2024-05-12 03:00:00,L47,z,-1869.987506,0.005582,-73304.708349,999999.999999
2024-05-12 03:30:00,L47,y,3416.514509,0.003318,45746.328624,999999.999999
2024-05-12 03:30:00,L47,z,-5215.320579,0.003318,49346.482739,999999.999999
2024-05-12 03:30:00,L47,x,2853.732097,0.003318,35348.108176,999999.999999
2024-05-12 04:00:00,L47,x,1792.381419,0.004545,-47829.932304,999999.999999
2024-05-12 04:00:00,L47,y,2251.069833,0.004545,-49926.016889,999999.999999
2024-05-12 04:00:00,L47,z,6206.177805,0.004545,31842.806822,999999.999999
2024-05-12 04:30:00,L47,x,-5383.543381,0.004569,-687.275038,999999.999999
2024-05-12 04:30:00,L47,z,-33.851431,0.004569,-76211.868145,999999.999999
2024-05-12 04:30:00,L47,y,-4237.550216,0.004569,1319.286201,999999.999999
2024-05-12 05:00:00,L47,z,-6214.299553,0.002217,32007.059109,999999.999999
2024-05-12 05:00:00,L47,y,1223.06604,0.002217,34587.909875,999999.999999
2024-05-12 05:00:00,L47,x,2628.44825,0.002217,59545.743856,999999.999999
2024-05-12 05:30:00,L47,x,3978.371533,0.001762,-53023.059499,999999.999999
2024-05-12 05:30:00,L47,y,1963.101901,0.001762,-23686.404574,999999.999999
2024-05-12 05:30:00,L47,z,5210.020161,0.001762,49277.568108,999999.999999
2024-05-12 06:00:00,L47,x,-6384.957117,0.001306,-19813.840163,999999.999999
2024-05-12 06:00:00,L47,y,-1697.025884,0.001306,-4072.357049,999999.999999
2024-05-12 06:00:00,L47,z,1804.412507,0.001306,-73505.154683,999999.999999
2024-05-12 06:30:00,L47,y,-153.893106,0.000225,10291.011299,999999.999999
2024-05-12 06:30:00,L47,x,1147.623841,0.000225,74170.33502,999999.999999
2024-05-12 06:30:00,L47,z,-6758.985473,0.000225,12360.507931,999999.999999
2024-05-12 07:00:00,L47,z,3830.280463,0.003048,63092.637573,999999.999999
2024-05-12 07:00:00,L47,y,232.708193,0.003048,-1624.775383,999999.999999
2024-05-12 07:00:00,L47,x,5669.05017,0.003048,-42705.944324,999999.999999
2024-05-12 07:30:00,L47,x,-5812.134558,0.001655,-38712.569435,999999.999999
2024-05-12 07:30:00,L47,y,874.914942,0.001655,5998.283301,999999.999999
2024-05-12 07:30:00,L47,z,3509.483906,0.001655,-65379.99187,999999.999999
2024-05-12 08:00:00,L47,z,-6810.413706,0.005806,-8172.81715,999999.999999
2024-05-12 08:00:00,L47,y,-121.579742,0.005806,-18738.498274,999999.999999
2024-05-12 08:00:00,L47,x,-792.041243,0.005806,73085.043741,999999.999999
2024-05-12 08:30:00,L47,y,-2342.925562,0.002676,7801.434957,999999.999999
2024-05-12 08:30:00,L47,z,2168.500969,0.002676,72262.66596,999999.999999
2024-05-12 08:30:00,L47,x,6059.060205,0.002676,-22980.775856,999999.999999
2024-05-12 09:00:00,L47,x,-3986.177526,0.003273,-47559.250499,999999.999999
2024-05-12 09:00:00,L47,y,2524.88312,0.003273,28125.937898,999999.999999
2024-05-12 09:00:00,L47,z,4955.785669,0.003273,-52442.404926,999999.999999
2024-05-12 09:30:00,L47,x,-2199.095541,0.003883,56592.04769,999999.999999
2024-05-12 09:30:00,L47,y,1291.910154,0.003883,-42094.231126,999999.999999
2024-05-12 09:30:00,L47,z,-6365.069144,0.003883,-28115.446467,999999.999999
2024-05-12 10:00:00,L47,x,4882.488708,0.000683,-3848.986206,999999.999999
2024-05-12 10:00:00,L47,y,-4794.210893,0.000683,1742.978377,999999.999999
2024-05-12 10:00:00,L47,z,347.266479,0.000683,76105.589881,999999.999999
2024-05-12 10:30:00,L47,x,-1745.078578,0.003373,-40743.173748,999999.999999
2024-05-12 10:30:00,L47,y,2701.793776,0.003373,53528.475556,999999.999999
2024-05-12 10:30:00,L47,z,6037.418079,0.003373,-35649.777064,999999.999999
2024-05-12 11:00:00,L47,x,-2312.570476,0.003877,31297.99124,999999.999999
2024-05-12 11:00:00,L47,y,3450.763246,0.003877,-51735.829221,999999.999999
2024-05-12 11:00:00,L47,z,-5454.721229,0.003877,-46038.415032,999999.999999
2024-05-12 11:30:00,L47,y,-6191.771671,-0.004425,-15832.570667,999999.999999
2024-05-12 11:30:00,L47,x,2527.691806,-0.004425,5108.036824,999999.999999
2024-05-12 11:30:00,L47,z,-1499.882262,-0.004425,74345.432689,999999.999999
2024-05-12 12:00:00,L47,y,1490.157183,0.002528,71800.320501,999999.999999
2024-05-12 12:00:00,L47,x,-85.513082,0.002528,-19286.161048,999999.999999
2024-05-12 12:00:00,L47,z,6674.62204,0.002528,-16245.830172,999999.999999
2024-05-12 12:30:00,L47,z,-4144.927135,0.003665,-60628.796994,999999.999999
2024-05-12 12:30:00,L47,x,-926.545251,0.003665,7348.108624,999999.999999
2024-05-12 12:30:00,L47,y,5381.38568,0.003665,-45368.65674,999999.999999
2024-05-12 13:00:00,L47,x,-127.216876,0.00266,-1151.748903,999999.999999
2024-05-12 13:00:00,L47,y,-6041.69659,0.00266,-35878.670283,999999.999999
2024-05-12 13:00:00,L47,z,-3237.562449,0.00266,67121.206892,999999.999999
2024-05-12 13:30:00,L47,x,264.651916,0.005442,9579.598769,999999.999999
2024-05-12 13:30:00,L47,y,-428.893786,0.005442,75359.895816,999999.999999
2024-05-12 13:30:00,L47,z,6820.670246,0.005442,4351.684287,999999.999999
2024-05-12 14:00:00,L47,x,1517.05872,0.005626,-5863.659676,999999.999999
2024-05-12 14:00:00,L47,y,6186.582963,0.005626,-27441.131406,999999.999999
2024-05-12 14:00:00,L47,z,-2530.600063,0.005626,-70799.570491,999999.999999
2024-05-12 14:30:00,L47,x,-2087.682618,-0.000643,-20957.410877,999999.999999
2024-05-12 14:30:00,L47,z,-4737.510309,-0.000643,54985.345776,999999.999999
2024-05-12 14:30:00,L47,y,-4495.764898,-0.000643,-48155.65318,999999.999999
2024-05-12 15:00:00,L47,x,-843.185828,0.001323,35477.912257,999999.999999
2024-05-12 15:00:00,L47,y,-2069.771822,0.001323,62667.809488,999999.999999
2024-05-12 15:00:00,L47,z,6464.673977,0.001323,24629.151202,999999.999999
2024-05-12 15:30:00,L47,y,5431.547084,0.00263,-7252.961054,999999.999999
2024-05-12 15:30:00,L47,z,-730.400234,0.00263,-75776.454613,999999.999999
2024-05-12 15:30:00,L47,x,4112.980371,0.00263,-3720.278198,999999.999999
2024-05-12 16:00:00,L47,x,-2667.020971,0.002988,-46639.477778,999999.999999
2024-05-12 16:00:00,L47,z,-5889.71969,0.002988,38853.245726,999999.999999
2024-05-12 16:00:00,L47,y,-2284.641256,0.002988,-45662.891226,999999.999999
2024-05-12 16:30:00,L47,x,-2913.545378,0.003958,49278.372989,999999.999999
2024-05-12 16:30:00,L47,y,-2567.531759,0.003958,38888.889478,999999.999999
2024-05-12 16:30:00,L47,z,5633.096261,0.003958,43099.027852,999999.999999
2024-05-12 17:00:00,L47,x,5877.740554,0.00868,11631.350862,999999.999999
2024-05-12 17:00:00,L47,y,3332.793464,0.00868,5050.235511,999999.999999
2024-05-12 17:00:00,L47,z,1123.171339,0.00868,-75176.152787,999999.999999
